Date,Open,High,Low,Close,Volume
2023-11-30,331.89,333.5,322.4037,327.15,23146387
2023-11-29,339.69,339.9,330.78,332.2,16024497
2023-11-28,333.4,339.375,333.4,338.99,12637245
2023-11-27,336.18,339.9,334.2,334.7,15684454
2023-11-24,340.13,341.8556,336.77,338.23,5467488
2023-11-22,339.21,342.92,338.58,341.49,10715177
2023-11-21,338.33,339.9015,335.9,336.98,12027863
2023-11-20,334.89,341.87,334.19,339.97,16976129
2023-11-17,330.26,335.5,329.35,335.04,14519213
2023-11-16,329.37,334.58,326.38,334.19,18932572
2023-11-15,337.93,338.4,330.02,332.71,14531180
2023-11-14,334.54,338.1,333.33,336.31,17179403
2023-11-13,326.2,332.33,325.7,329.19,16908948
2023-11-10,319.94,329.1,319.46,328.77,19116921
2023-11-09,319.418,324.1799,318.8,320.55,16103071
2023-11-08,318.14,321.33,314.88,319.78,13609704
2023-11-07,317.06,321.0,315.12,318.82,14055614
2023-11-06,315.98,318.33,314.45,315.8,12887699
2023-11-03,312.55,315.55,311.0167,314.6,16764315
2023-11-02,317.3,318.82,308.33,310.87,21631820
2023-11-01,301.85,312.74,301.85,311.85,20434580
