id,creation date,last update date,accepted date
1,2020-01-27,2020-10-13,2020-11-24
2,2020-07-20,2021-03-27,2021-02-17
3,2021-08-09,2022-01-30,2022-06-24
4,2022-07-08,2023-01-23,2023-03-16
5,2020-03-14,2020-06-24,2020-07-14
6,2021-01-17,2021-11-27,2021-06-23
7,2022-05-11,2022-05-25,2022-06-15
8,2023-07-15,2024-01-12,2023-09-12
9,2020-07-30,2020-08-11,2021-01-02
10,2020-07-18,2021-05-29,2020-12-24
11,2021-02-02,2021-12-10,2021-09-13
12,2022-01-03,2022-01-19,2022-08-24
13,2020-07-26,2021-04-06,2021-01-28
14,2020-03-16,2020-12-14,2020-06-21
15,2023-12-10,2024-10-08,2024-07-19
16,2020-02-10,2020-12-09,2021-01-29
17,2022-04-05,2022-10-05,2023-02-23
18,2020-08-09,2021-05-11,2021-01-25
19,2022-03-26,2023-03-21,2023-02-05
20,2023-12-26,2024-03-31,2024-11-06
21,2021-09-19,2022-02-16,2022-02-24
22,2023-09-23,2023-12-27,2023-11-20
23,2020-09-22,2021-07-14,2021-07-03
24,2021-11-11,2022-04-30,2021-12-09
25,2023-03-29,2023-08-04,2023-08-22
26,2020-05-05,2021-04-27,2021-04-14
27,2020-09-05,2020-11-13,2021-08-21
28,2023-11-14,2024-09-07,2024-05-12
29,2022-05-17,2023-04-09,2022-11-06
30,2021-09-20,2021-12-13,2022-06-24
31,2021-10-08,2022-02-26,2022-02-18
32,2023-01-31,2023-09-02,2023-12-02
33,2022-03-30,2022-07-20,2023-02-23
34,2020-07-04,2021-06-14,2021-03-20
35,2021-02-20,2022-01-01,2021-09-08
36,2022-10-14,2023-03-10,2022-12-12
37,2020-10-17,2021-06-26,2021-08-11
38,2023-08-02,2024-06-25,2024-01-20
39,2023-12-01,2024-05-01,2024-07-06
40,2021-10-08,2022-08-17,2022-06-06
41,2020-11-06,2021-10-10,2021-01-13
42,2021-08-19,2022-04-23,2021-11-16
43,2022-08-18,2023-06-08,2023-07-14
44,2020-07-01,2020-11-07,2021-01-12
45,2021-05-26,2022-02-07,2021-12-28
46,2023-11-26,2024-02-22,2024-02-19
47,2022-04-27,2023-02-04,2022-10-07
48,2022-01-07,2022-12-15,2022-05-20
49,2021-11-13,2022-01-30,2021-12-16
50,2021-04-08,2021-08-28,2022-03-03
51,2023-10-25,2024-10-12,2024-01-24
52,2021-07-08,2022-06-01,2022-06-04
53,2022-08-01,2022-10-27,2023-01-13
54,2020-02-23,2020-03-11,2020-04-08
55,2020-08-21,2020-12-17,2020-09-12
56,2021-06-24,2021-11-02,2021-12-26
57,2021-03-09,2021-12-02,2021-12-24
58,2020-03-01,2020-07-13,2020-05-02
59,2021-08-22,2021-11-01,2021-09-28
60,2023-11-08,2024-04-03,2024-11-04
61,2020-03-08,2021-02-23,2020-09-30
62,2020-12-21,2021-05-03,2021-04-21
63,2020-06-30,2020-11-07,2020-10-11
64,2022-12-31,2023-04-28,2023-04-29
65,2021-10-30,2021-11-23,2022-09-23
66,2023-02-10,2023-03-26,2023-03-08
67,2022-06-26,2022-11-17,2022-08-30
68,2020-10-23,2021-06-30,2021-09-25
69,2023-04-03,2023-10-30,2023-07-20
70,2023-07-28,2023-08-07,2023-11-02
71,2023-08-09,2023-11-29,2024-03-04
72,2020-10-11,2021-09-04,2021-09-06
73,2023-11-16,2024-04-14,2024-03-20
74,2022-05-29,2022-10-23,2022-08-21
75,2021-08-21,2022-04-24,2022-07-31
76,2022-07-30,2023-07-02,2023-07-02
77,2021-07-15,2021-09-23,2021-11-05
78,2020-08-30,2021-04-16,2020-12-24
79,2021-10-22,2022-10-06,2022-06-09
80,2020-07-12,2021-05-18,2020-09-16
81,2023-08-21,2024-05-15,2024-07-14
82,2023-04-18,2023-10-30,2023-12-11
83,2020-10-17,2021-04-21,2021-03-09
84,2022-01-19,2022-03-30,2022-11-25
85,2021-04-18,2021-09-02,2021-12-03
86,2020-05-16,2020-07-01,2020-11-12
87,2021-07-03,2021-08-18,2021-08-06
88,2020-11-13,2021-07-29,2021-07-04
89,2020-05-20,2020-08-13,2020-10-23
90,2023-10-27,2024-02-22,2024-06-11
91,2022-01-12,2022-02-22,2022-12-25
92,2022-12-28,2023-01-13,2023-10-18
93,2021-06-20,2021-09-15,2022-05-12
94,2022-10-28,2022-11-09,2023-06-18
95,2022-09-12,2023-01-26,2023-09-06
96,2022-09-04,2023-02-16,2023-01-18
97,2020-09-07,2021-03-24,2021-07-26
98,2023-10-08,2024-05-12,2024-03-22
99,2022-06-15,2022-08-22,2023-05-30
100,2022-10-07,2023-07-05,2023-07-11
